Reference (v4),Qty,Value,Footprint,Description,Documentation/Vendor,Notes
BT1,1,CR2032,Battery_Holders:Keystone_103_1x20mm-CoinCell,Battery cell,http://www.keyelco.com/product.cfm/product_id/719,
BZ1,1,Buzzer,Buzzers_Beepers:Buzzer_12x9.5RM7.6,"Buzzer, polar",https://product.tdk.com/en/search/sw_piezo/sw_piezo/em-buzzer/info?part_no=SD1614TT-B1,
"C1, C2",2,10 pF,Capacitors_SMD:C_0805,Unpolarized capacitor,,
"C3, C4",2,12.5 pF,Capacitors_SMD:C_0805,Unpolarized capacitor,,
"C5, C8, C10, C11, C12, C16, C17, C18, C19, C20, C22, C21, C24, C27",14,100 nF,Capacitors_SMD:C_0805,Unpolarized capacitor,,DNI C5 if DS3234 present
C6,1,10 nF,Capacitors_SMD:C_0805,Unpolarized capacitor,,
C7,1,1 µF,Capacitors_SMD:C_0805,Unpolarized capacitor,,
"C9, C13",2,4.7 µF,Capacitors_SMD:C_0805,Unpolarized capacitor,,
"C14, C15",2,47 nF,Capacitors_SMD:C_0805,Unpolarized capacitor,,
C23,1,100 µF,Capacitors_SMD:CP_Elec_8x10,Polarised capacitor,https://industrial.panasonic.com/ww/products/capacitors/polymer-capacitors/os-con/svf/25SVF100M,
C25,1,10 µF,Capacitors_SMD:C_0805,Unpolarized capacitor,,
C26,1,470 mF,kbxCustoms:CP_Radial_D13.0mm_P5.00mm_HD1.5mm,Polarised capacitor,http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4327_KR_Series.pdf,
D1,1,USBLC6,TO_SOT_Packages_SMD:SOT-23-6,TVS Diode/Array,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,
D2,1,1N4148,Diodes_SMD:D_SOD-123,Diode,https://www.diodes.com/assets/Datasheets/ds30086.pdf,
D3,1,S3A,Diodes_SMD:D_SMC,,http://www.onsemi.com/pub/Collateral/S3N-D.PDF,
D4,1,BAT64-04,TO_SOT_Packages_SMD:SOT-23,Dual diode,https://www.infineon.com/dgdl/Infineon-BAT64SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca3890115191757980ead,
D5,1,BAT64-02V,Diodes_SMD:D_0603,Diode,https://www.infineon.com/dgdl/Infineon-BAT64SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca3890115191757980ead,
F1,1,~2A Polyfuse,Fuse_Holders_and_Fuses:Fuse_SMD2920,"Resettable fuse, polymeric positive temperature coefficient (PPTC)",http://m.littelfuse.com/~/media/electronics/datasheets/resettable_ptcs/littelfuse_ptc_2920l_datasheet.pdf.pdf,
J1,1,Conn_02x08_Odd_Even,Pin_Headers:Pin_Header_Straight_2x08_Pitch2.54mm,,,
J2,1,Conn_02x05_Odd_Even,Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm,,,
J3,1,Conn_02x03_Odd_Even,Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm,,,
J4,1,Conn_01x06,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,,,
J5,1,Jack-DC,kbxCustoms:BARREL_JACK,,,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25",25,LED_RGB_COMMON_ANODE,LEDs:LED_D5.0mm-4,,https://www.adafruit.com/product/302,
LED26,1,LED_Dual_AACC,LEDs:LED_Cree-PLCC4_3.2x2.8mm_CCW,"LED dual, 4-pin",https://www.vcclite.com/product/led-smt-1206-1-72-1v-20ma-redgreen-2k/,
P1,1,CONN_MICRO_USB_B,Connectors_USB:USB_Micro-B_Molex-105017-0001,,https://www.molex.com/webdocs/datasheets/pdf/en-us/1050170001_IO_CONNECTORS.pdf,
P2,1,STM32_SWD_USART,Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm_SMD,,https://www.harwin.com/products/M50-3600542R/,
Q1,1,Q_Photo_NPN,LEDs:LED_D5.0mm,"Phototransistor NPN, 2-pin (C=1, E=2)",https://www.vishay.com/docs/84768/tept5600.pdf,
"Q2, Q3, Q4, Q5",4,2N7002,TO_SOT_Packages_SMD:SOT-23,,https://www.diodes.com/assets/Datasheets/ds11303.pdf,
R1,1,47K,Resistors_SMD:R_0805,Resistor,,
R2,1,68K,Resistors_SMD:R_0805,Resistor,,
"R5, R19, R25, R26, R27",5,1M,Resistors_SMD:R_0805,Resistor,,
"R3, R4, R6, R7, R8, R18, R23, R24",8,10K,Resistors_SMD:R_0805,Resistor,,"R3 if no RTC, R4 adj. based on phototransistor, R18 not required"
"R9, R10, R11, R12, R13, R14, R20, R21, R22",9,1K,Resistors_SMD:R_0805,Resistor,,
"R15, R16, R17",3,2K7,Resistors_SMD:R_0805,Resistor,,
R28,1,0,Resistors_SMD:R_0805,Resistor,,
R29,1,120,Resistors_SMD:R_0805,Resistor,,
R30,1,56 0.5W,Resistors_SMD:R_0805,Resistor,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/RDO0000C337.pdf,
RV1,1,100K,Potentiometers:Potentiometer_Trimmer_Vishay_TS53YJ,,http://www.bourns.com/docs/Product-Datasheets/TC33.PDF,
"SW1, SW2",2,SW_Push,Buttons_Switches_SMD:SW_SPST_KMR2,,https://www.ckswitches.com/media/1479/kmr2.pdf,
U1,1,STM32F072RBTx,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,Core: ARM Cortex-M0 Package: LQFP64 Flash: 128KB Ram: 16KB Frequency: 48MHz,http://www.st.com/content/ccc/resource/technical/document/datasheet/cd/46/43/83/22/d3/40/c8/DM00090510.pdf/files/DM00090510.pdf/jcr:content/translations/en.DM00090510.pdf,
"U2, U3, U4",3,TLC5951,kbxCustoms:HTSSOP-38_6.1x12.5mm_Pitch0.65mm_ThermalPad,,http://www.ti.com/lit/ds/symlink/tlc5951.pdf,
U5,1,DS3234,Housings_SOIC:SO-20_12.8x7.5mm_Pitch1.27mm,DS3234 SPI Bus Real-time Clock with Integrated Crystal,https://datasheets.maximintegrated.com/en/ds/DS3234.pdf,
U6,1,MAX485E,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,"Half duplex RS-485/RS-422, 2.5 Mbps, �15kV electro-static discharge (ESD) protection",https://datasheets.maximintegrated.com/en/ds/MAX3483E-MAX3491E.pdf,
U7,1,DS1722,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,https://datasheets.maximintegrated.com/en/ds/DS1722.pdf,
U8,1,LM74,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,,http://www.ti.com/lit/ds/symlink/lm74.pdf,
U9,1,LD1117S33TR,TO_SOT_Packages_SMD:TO-252-2,"1A Low Dropout regulator, positive, 1.5V fixed output, SOT-223",http://www.st.com/content/ccc/resource/technical/document/datasheet/a5/c3/3f/c9/2b/15/40/49/CD00002116.pdf/files/CD00002116.pdf/jcr:content/translations/en.CD00002116.pdf,
Y1,1,8 MHz,Crystals:Crystal_SMD_5032-4pin_5.0x3.2mm,Two pin crystal,http://www.abracon.com/Resonators/abm3b.pdf,
Y2,1,32.768 KHz,Crystals:Crystal_SMD_3215-2pin_3.2x1.5mm,Two pin crystal,https://www.ecsxtal.com/store/pdf/ECX-.327-CDX-1293.pdf,
